charge240,city08U,cityE,co2A,comb08U,combE,cylinders,displ,drive,engId,feScore,fuelCost08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,mpgData,range,rangeCity,rangeHwy,trany,UCity,UHighway,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn
12.0,88.5914,38.0,-1,89.1811,38.0,,,All-Wheel Drive,10,10,750,Electricity,Electricity,10,-1,90,89.9126,37.0,26,94,36980,0,0,Tesla,Model X AWD - P90D,N,250,247.3,252.7,Automatic,120.7,122.5,Standard Sport Utility Vehicle 4WD,2016,3000,4.75,Fri Sep 25 00:00:00 EDT 2015,Tue Jan 05 00:00:00 EST 2016
3.5,85.4,39.4672,-1,83.7887,40.2262,,,Front-Wheel Drive,504,10,800,Electricity,Electricity,10,-1,82,81.9,41.1538,0,0,36997,0,22,Mercedes-Benz,B250e,N,87,89.0,85.0,Automatic,122.0,117.0,Midsize Cars,2016,2750,0.0,Fri Oct 02 00:00:00 EDT 2015,Thu Jan 28 00:00:00 EST 2016
8.0,126.4057,26.6635,-1,113.6836,29.6496,,,Front-Wheel Drive,901,10,600,Electricity,Electricity,10,-1,101,101.2312,33.2992,24,92,37066,0,0,Nissan,Leaf (24 kW-hr battery pack),N,84,92.0,74.0,Automatic,180.5796,144.616,Midsize Cars,2016,3750,5.0,Mon Oct 19 00:00:00 EDT 2015,Wed Dec 02 00:00:00 EST 2015
6.0,123.55,27.2826,-1,112.4312,29.9829,,,Front-Wheel Drive,902,10,600,Electricity,Electricity,10,-1,101,101.29,33.2832,24,92,37067,0,0,Nissan,Leaf (30 kW-hr battery pack),N,107,116.0,95.0,Automatic,176.5,144.7,Midsize Cars,2016,3750,0.0,Mon Oct 19 00:00:00 EDT 2015,Wed Dec 02 00:00:00 EST 2015
10.0,87.8784,38.0,-1,88.8676,38.0,,,Rear-Wheel Drive,3,10,750,Electricity,Electricity,10,-1,90,90.1072,37.0,26,94,37233,0,0,Tesla,Model S (70 kW-hr battery pack),N,234,234.0,234.3,Automatic,110.4,113.2,Large Cars,2016,3000,3.75,Thu Jan 21 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016
12.0,87.8784,38.0,-1,88.8876,38.0,,,Rear-Wheel Drive,71,10,750,Electricity,Electricity,10,-1,90,90.1072,37.0,26,94,37235,0,0,Tesla,Model S (90 kW-hr battery pack),N,265,262.7,266.8,Automatic,110.4,113.2,Large Cars,2016,3000,4.75,Thu Jan 21 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016
12.0,97.4898,35.0,-1,98.409,34.0,,,Rear-Wheel Drive,31,10,650,Electricity,Electricity,10,-1,100,99.5562,34.0,26,94,37421,0,0,Tesla,Model S (75 kW-hr battery pack),N,249,246.1,252.7,Automatic,132.1,134.9,Large Cars,2016,3500,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016
12.0,101.7702,33.0,-1,103.3343,33.0,,,All-Wheel Drive,61,10,650,Electricity,Electricity,10,-1,105,105.3126,32.0,26,94,37422,0,0,Tesla,Model S AWD - 75D,N,259,255.0,264.6,Automatic,137.9,142.7,Large Cars,2016,3500,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016
12.0,91.1628,37.0,-1,93.0305,36.0,,,All-Wheel Drive,11,10,700,Electricity,Electricity,10,-1,95,95.42,35.0,26,94,37423,0,0,Tesla,Model X AWD - 75D,N,238,233.7,242.2,Automatic,124.2,130.0,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016
4.0,137.48,25.0,-1,124.3601,27.0,,,Rear-Wheel Drive,100,10,550,Electricity,Electricity,10,-1,111,111.37,30.0,0,0,38000,0,15,BMW,I3 BEV (60  Amp-hour battery),N,81,89.0,71.6,Automatic,196.4,159.1,Subcompact Cars,2017,4000,0.0,Wed Aug 10 00:00:00 EDT 2016,Wed Aug 10 00:00:00 EDT 2016
5.0,129.08,26.0,-1,117.7049,29.0,,,Rear-Wheel Drive,102,10,550,Electricity,Electricity,10,-1,106,106.26,32.0,0,0,38001,0,15,BMW,I3 BEV (94 Amp-hour battery),N,114,123.8,101.9,Automatic,184.4,151.8,Subcompact Cars,2017,4000,0.0,Wed Aug 10 00:00:00 EDT 2016,Wed Aug 10 00:00:00 EDT 2016
12.0,101.475,33.0,-1,103.7678,32.0,,,All-Wheel Drive,21,10,600,Electricity,Electricity,10,-1,107,106.7148,32.0,26,94,38171,0,0,Tesla,Model S AWD - 60D,N,218,221.1,226.9,Automatic,137.5,144.6,Large Cars,2016,3750,3.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016
12.0,92.4713,36.0,-1,97.5232,35.0,,,All-Wheel Drive,15,10,700,Electricity,Electricity,10,-1,105,104.5008,32.0,26,94,38172,0,0,Tesla,Model S AWD - P100D,N,315,305.9,346.9,Automatic,125.3,141.6,Large Cars,2016,3250,4.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016
12.0,91.2362,37.0,-1,92.5663,36.0,,,All-Wheel Drive,12,10,700,Electricity,Electricity,10,-1,94,94.2456,36.0,26,94,38173,0,0,Tesla,Model X AWD - 60D,N,200,196.5,203.2,Automatic,124.3,128.4,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016
