fuelType,model,make,createdOn
Premium,Spider,Alfa Romeo,Tue Jan 01 00:00:00 EST 2013
Premium,Corvette,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,300ZX,Nissan,Tue Jan 01 00:00:00 EST 2013
Premium,Viper,Dodge,Tue Jan 01 00:00:00 EST 2013
Premium,Ferrari 348 TB/TS/Spider,Ferrari,Tue Jan 01 00:00:00 EST 2013
Premium,Ferrari 512 TR,Ferrari,Tue Jan 01 00:00:00 EST 2013
Regular,Civic Del Sol,Honda,Tue Jan 01 00:00:00 EST 2013
Premium,Civic Del Sol,Honda,Tue Jan 01 00:00:00 EST 2013
Premium,XJS Convertible,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,Esprit Turbo,Lotus,Tue Jan 01 00:00:00 EST 2013
Regular,MX-5 Miata,Mazda,Tue Jan 01 00:00:00 EST 2013
Diesel,Kubvan,Grumman Olson,Tue Jan 01 00:00:00 EST 2013
Premium,RX-7,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,SL320,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,SL500,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,SL600,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,911 Carrera 4/2,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,968,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,MR2,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,MR2,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Cabriolet,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,318i Convertible,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,325i Convertible,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,Capri,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Cherokee/Wagoneer,Jeep,Tue Jan 01 00:00:00 EST 2013
Premium,E320 Convertible,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,911 Turbo,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,928 GTS,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,928 GTS,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,Paseo,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Supra,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Integra,Acura,Tue Jan 01 00:00:00 EST 2013
Regular,Integra,Acura,Tue Jan 01 00:00:00 EST 2013
