make,model,year,trany,VClass,barrels08
Mercury,Tracer Wagon,1988-01-01,manual,Small Station Wagons,12.207778
Chevrolet,Malibu Hybrid,2008-01-01,automatic,Midsize Cars,12.207778
Saturn,SW,1997-01-01,manual,Small Station Wagons,12.207778
Mercury,Tracer Wagon,1989-01-01,manual,Small Station Wagons,12.207778
Pontiac,Vibe,2006-01-01,automatic,Small Station Wagons,12.207778
Suzuki,Esteem,2002-01-01,manual,Subcompact Cars,12.207778
Toyota,Matrix,2006-01-01,automatic,Small Station Wagons,12.207778
MINI,Clubman S,2008-01-01,automatic,Subcompact Cars,12.207778
Toyota,Corolla,2002-01-01,automatic,Compact Cars,12.207778
Saturn,SL,1999-01-01,automatic,Compact Cars,12.207778
Chevrolet,Malibu,2011-01-01,automatic,Midsize Cars,12.677308
GMC,S15 Pickup 2WD,1984-01-01,manual,Small Pickup Trucks 2WD,12.677308
Ford,Escort Wagon,1985-01-01,manual,Small Station Wagons,12.677308
Hyundai,Accent/Brio,2003-01-01,automatic,Compact Cars,12.677308
Hyundai,Accent/Brio,2003-01-01,automatic,Compact Cars,12.677308
Chevrolet,Aveo 5,2006-01-01,manual,Subcompact Cars,12.677308
Nissan,Altima,2007-01-01,manual,Midsize Cars,12.677308
Chevrolet,S10 Pickup 2WD,1984-01-01,manual,Small Pickup Trucks 2WD,12.677308
Mercury,Lynx Wagon,1984-01-01,manual,Small Station Wagons,12.677308
Saturn,SW,1994-01-01,automatic,Small Station Wagons,12.677308
Mercury,Tracer Wagon,1994-01-01,automatic,Small Station Wagons,12.677308
Saturn,SL,1992-01-01,automatic,Compact Cars,12.677308
Chevrolet,Malibu,2011-01-01,automatic,Midsize Cars,12.677308
Nissan,Altima,2007-01-01,automatic,Midsize Cars,12.677308
Mitsubishi,Lancer,2011-01-01,manual,Compact Cars,12.677308
Ford,Escort Wagon,1994-01-01,automatic,Small Station Wagons,12.677308
Mitsubishi,Lancer,2003-01-01,manual,Compact Cars,12.677308
